indicator,year,total_count,source_dataset
NUMBER OF WOMEN TRAFFICKED,2016,5239,women_children
NUMBER OF CHILDREN TRAFFICKED,2016,9034,women_children
NUMBER OF WOMEN VICTIMS OF TRAFFICKING RESCUED,2016,7238,women_children
NUMBER OF CHILD VICTIMS OF TRAFFICKING RESCUED,2016,14183,women_children
NUMBER OF WOMEN TRAFFICKED,2017,2040,women_children
NUMBER OF CHILDREN TRAFFICKED,2017,3535,women_children
NUMBER OF WOMEN VICTIMS OF TRAFFICKING RESCUED,2017,2211,women_children
NUMBER OF CHILD VICTIMS OF TRAFFICKING RESCUED,2017,3294,women_children
NUMBER OF WOMEN TRAFFICKED,2018,2472,women_children
NUMBER OF CHILDREN TRAFFICKED,2018,2834,women_children
NUMBER OF WOMEN VICTIMS OF TRAFFICKING RESCUED,2018,2493,women_children
NUMBER OF CHILD VICTIMS OF TRAFFICKING RESCUED,2018,2358,women_children
