State,District,Year,Crime_Type,Crime_Count
ANDHRA PRADESH,ADILABAD,2001,RAPE,50
ANDHRA PRADESH,ANANTAPUR,2001,RAPE,23
ANDHRA PRADESH,CHITTOOR,2001,RAPE,27
ANDHRA PRADESH,CUDDAPAH,2001,RAPE,20
ANDHRA PRADESH,EAST GODAVARI,2001,RAPE,23
ANDHRA PRADESH,GUNTUR,2001,RAPE,54
ANDHRA PRADESH,HYDERABAD CITY,2001,RAPE,37
ANDHRA PRADESH,KARIMNAGAR,2001,RAPE,56
ANDHRA PRADESH,KHAMMAM,2001,RAPE,47
ANDHRA PRADESH,KRISHNA,2001,RAPE,37
ANDHRA PRADESH,KURNOOL,2001,RAPE,29
ANDHRA PRADESH,MAHABOOBNAGAR,2001,RAPE,59
ANDHRA PRADESH,MEDAK,2001,RAPE,35
ANDHRA PRADESH,NALGONDA,2001,RAPE,35
ANDHRA PRADESH,NELLORE,2001,RAPE,46
ANDHRA PRADESH,NIZAMABAD,2001,RAPE,21
ANDHRA PRADESH,PRAKASHAM,2001,RAPE,19
ANDHRA PRADESH,RANGA REDDY,2001,RAPE,72
ANDHRA PRADESH,SRIKAKULAM,2001,RAPE,8
ANDHRA PRADESH,VIJAYAWADA,2001,RAPE,25
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,RAPE,1
ANDHRA PRADESH,VISAKHA RURAL,2001,RAPE,12
ANDHRA PRADESH,VISAKHAPATNAM,2001,RAPE,13
ANDHRA PRADESH,VIZIANAGARAM,2001,RAPE,8
ANDHRA PRADESH,WARANGAL,2001,RAPE,53
ANDHRA PRADESH,WEST GODAVARI,2001,RAPE,61
ANDHRA PRADESH,TOTAL,2001,RAPE,871
ARUNACHAL PRADESH,CHANGLANG,2001,RAPE,1
ARUNACHAL PRADESH,DIBANG VALLEY,2001,RAPE,2
ARUNACHAL PRADESH,KAMENG EAST,2001,RAPE,2
ARUNACHAL PRADESH,LOHIT,2001,RAPE,2
ARUNACHAL PRADESH,PAPUM PARE,2001,RAPE,9
ARUNACHAL PRADESH,SIANG EAST,2001,RAPE,5
ARUNACHAL PRADESH,SIANG UPPER,2001,RAPE,2
ARUNACHAL PRADESH,SIANG WEST,2001,RAPE,4
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,RAPE,2
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,RAPE,2
ARUNACHAL PRADESH,TAWANG,2001,RAPE,1
ARUNACHAL PRADESH,TIRAP,2001,RAPE,1
ARUNACHAL PRADESH,TOTAL,2001,RAPE,33
ASSAM,BARPETA,2001,RAPE,28
ASSAM,BONGAIGAON,2001,RAPE,20
ASSAM,CACHAR,2001,RAPE,45
ASSAM,DARRANG,2001,RAPE,48
ASSAM,DHEMAJI,2001,RAPE,42
ASSAM,DHUBRI,2001,RAPE,43
ASSAM,DIBRUGARH,2001,RAPE,35
ASSAM,G.R.P.,2001,RAPE,1
ASSAM,GOALPARA,2001,RAPE,35
ASSAM,GOLAGHAT,2001,RAPE,30
ASSAM,GUWAHATI CITY,2001,RAPE,37
ASSAM,HAILAKANDI,2001,RAPE,24
ASSAM,JORHAT,2001,RAPE,42
ASSAM,KAMRUP,2001,RAPE,21
ASSAM,KARBI ANGLONG,2001,RAPE,5
ASSAM,KARIMGANJ,2001,RAPE,33
ASSAM,KOKRAJHAR,2001,RAPE,14
ASSAM,LAKHIMPUR,2001,RAPE,64
ASSAM,MORIGAON,2001,RAPE,23
ASSAM,N.C.HILLS,2001,RAPE,2
ASSAM,NAGAON,2001,RAPE,51
ASSAM,NALBARI,2001,RAPE,30
ASSAM,R.P.O.,2001,RAPE,3
ASSAM,SIBSAGAR,2001,RAPE,47
ASSAM,SONITPUR,2001,RAPE,53
ASSAM,TINSUKIA,2001,RAPE,41
