area,crime_type,year,crime_count,crime_date,crime_hour,day_night,month,risk_level
Ludhiana,KIDNAPPING,2020,1,2020-01-01 02:00:00,2,Night,1,Medium
Bangalore,SEXUAL ASSAULT,2020,1,2020-01-01 14:00:00,14,Day,1,High
Lucknow,SEXUAL ASSAULT,2020,1,2020-01-02 12:00:00,12,Day,1,High
Kanpur,SEXUAL ASSAULT,2020,1,2020-01-03 08:00:00,8,Day,1,Medium
Ahmedabad,ASSAULT,2020,1,2020-01-03 09:00:00,9,Day,1,High
Mumbai,KIDNAPPING,2020,1,2020-01-04 04:00:00,4,Night,1,High
Delhi,ASSAULT,2020,1,2020-01-04 08:00:00,8,Day,1,High
Mumbai,SEXUAL ASSAULT,2020,1,2020-01-04 21:00:00,21,Night,1,High
Kanpur,ASSAULT,2020,1,2020-01-05 06:00:00,6,Day,1,Medium
Delhi,KIDNAPPING,2020,1,2020-01-06 01:00:00,1,Night,1,High
Ludhiana,SEXUAL ASSAULT,2020,1,2020-01-06 03:00:00,3,Night,1,Medium
Pune,ASSAULT,2020,1,2020-01-06 05:00:00,5,Night,1,High
Kanpur,KIDNAPPING,2020,1,2020-01-06 18:00:00,18,Night,1,Medium
Varanasi,ASSAULT,2020,1,2020-01-06 23:00:00,23,Night,1,Low
Chennai,KIDNAPPING,2020,1,2020-01-07 09:00:00,9,Day,1,High
Kolkata,ASSAULT,2020,1,2020-01-07 15:00:00,15,Day,1,High
Ghaziabad,SEXUAL ASSAULT,2020,1,2020-01-07 20:00:00,20,Night,1,Medium
Hyderabad,SEXUAL ASSAULT,2020,1,2020-01-08 04:00:00,4,Night,1,High
Ahmedabad,SEXUAL ASSAULT,2020,1,2020-01-08 14:00:00,14,Day,1,High
Hyderabad,SEXUAL ASSAULT,2020,1,2020-01-08 15:00:00,15,Day,1,High
Chennai,KIDNAPPING,2020,1,2020-01-08 22:00:00,22,Night,1,High
Lucknow,KIDNAPPING,2020,1,2020-01-09 11:00:00,11,Day,1,High
Ludhiana,KIDNAPPING,2020,1,2020-01-10 05:00:00,5,Night,1,Medium
Kalyan,SEXUAL ASSAULT,2020,1,2020-01-11 03:00:00,3,Night,1,Low
Indore,KIDNAPPING,2020,1,2020-01-11 19:00:00,19,Night,1,Medium
Kanpur,SEXUAL ASSAULT,2020,1,2020-01-11 23:00:00,23,Night,1,Medium
Kanpur,KIDNAPPING,2020,1,2020-01-12 03:00:00,3,Night,1,Medium
Indore,ASSAULT,2020,1,2020-01-12 12:00:00,12,Day,1,Medium
Ludhiana,KIDNAPPING,2020,1,2020-01-12 15:00:00,15,Day,1,Medium
Indore,ASSAULT,2020,1,2020-01-12 20:00:00,20,Night,1,Medium
Chennai,ASSAULT,2020,1,2020-01-13 05:00:00,5,Night,1,High
Srinagar,SEXUAL ASSAULT,2020,1,2020-01-13 10:00:00,10,Day,1,Low
Bangalore,ASSAULT,2020,1,2020-01-14 01:00:00,1,Night,1,High
Delhi,KIDNAPPING,2020,1,2020-01-15 05:00:00,5,Night,1,High
Ghaziabad,ASSAULT,2020,1,2020-01-15 07:00:00,7,Day,1,Medium
Meerut,SEXUAL ASSAULT,2020,1,2020-01-15 08:00:00,8,Day,1,Low
Lucknow,ASSAULT,2020,1,2020-01-15 22:00:00,22,Night,1,High
Nagpur,KIDNAPPING,2020,1,2020-01-16 03:00:00,3,Night,1,Medium
Delhi,SEXUAL ASSAULT,2020,1,2020-01-16 12:00:00,12,Day,1,High
Kanpur,SEXUAL ASSAULT,2020,1,2020-01-16 22:00:00,22,Night,1,Medium
Ghaziabad,SEXUAL ASSAULT,2020,1,2020-01-18 12:00:00,12,Day,1,Medium
Jaipur,SEXUAL ASSAULT,2020,1,2020-01-19 10:00:00,10,Day,1,High
Surat,KIDNAPPING,2020,1,2020-01-19 14:00:00,14,Day,1,Medium
Delhi,SEXUAL ASSAULT,2020,1,2020-01-20 19:00:00,19,Night,1,High
Bangalore,SEXUAL ASSAULT,2020,1,2020-01-21 00:00:00,0,Night,1,High
Bangalore,ASSAULT,2020,1,2020-01-21 22:00:00,22,Night,1,High
Chennai,SEXUAL ASSAULT,2020,1,2020-01-22 02:00:00,2,Night,1,High
Meerut,KIDNAPPING,2020,1,2020-01-22 06:00:00,6,Day,1,Low
Chennai,SEXUAL ASSAULT,2020,1,2020-01-22 15:00:00,15,Day,1,High
Bangalore,KIDNAPPING,2020,1,2020-01-23 01:00:00,1,Night,1,High
Ahmedabad,KIDNAPPING,2020,1,2020-01-23 14:00:00,14,Day,1,High
Chennai,ASSAULT,2020,1,2020-01-23 19:00:00,19,Night,1,High
Ghaziabad,SEXUAL ASSAULT,2020,1,2020-01-23 23:00:00,23,Night,1,Medium
Ludhiana,KIDNAPPING,2020,1,2020-01-24 02:00:00,2,Night,1,Medium
Kolkata,SEXUAL ASSAULT,2020,1,2020-01-24 15:00:00,15,Day,1,High
Indore,ASSAULT,2020,1,2020-01-24 17:00:00,17,Day,1,Medium
Jaipur,KIDNAPPING,2020,1,2020-01-25 13:00:00,13,Day,1,High
Hyderabad,ASSAULT,2020,1,2020-01-27 20:00:00,20,Night,1,High
Hyderabad,ASSAULT,2020,1,2020-01-27 21:00:00,21,Night,1,High
Kolkata,SEXUAL ASSAULT,2020,1,2020-01-28 04:00:00,4,Night,1,High
Kolkata,SEXUAL ASSAULT,2020,1,2020-01-28 07:00:00,7,Day,1,High
Kolkata,ASSAULT,2020,1,2020-01-28 14:00:00,14,Day,1,High
Bangalore,KIDNAPPING,2020,1,2020-01-29 01:00:00,1,Night,1,High
Lucknow,SEXUAL ASSAULT,2020,1,2020-01-29 07:00:00,7,Day,1,High
Thane,SEXUAL ASSAULT,2020,1,2020-01-29 09:00:00,9,Day,1,Low
Chennai,SEXUAL ASSAULT,2020,1,2020-01-30 09:00:00,9,Day,1,High
Delhi,KIDNAPPING,2020,1,2020-01-30 20:00:00,20,Night,1,High
Ghaziabad,KIDNAPPING,2020,1,2020-01-30 23:00:00,23,Night,1,Medium
Patna,KIDNAPPING,2020,1,2020-01-31 06:00:00,6,Day,1,Medium
Bangalore,ASSAULT,2020,1,2020-01-31 11:00:00,11,Day,1,High
Mumbai,SEXUAL ASSAULT,2020,1,2020-01-31 23:00:00,23,Night,1,High
Ahmedabad,ASSAULT,2020,1,2020-02-01 07:00:00,7,Day,2,High
Kanpur,KIDNAPPING,2020,1,2020-02-01 14:00:00,14,Day,2,Medium
Bhopal,SEXUAL ASSAULT,2020,1,2020-02-03 01:00:00,1,Night,2,Medium
Srinagar,KIDNAPPING,2020,1,2020-02-03 03:00:00,3,Night,2,Low
Bhopal,KIDNAPPING,2020,1,2020-02-03 07:00:00,7,Day,2,Medium
Hyderabad,ASSAULT,2020,1,2020-02-04 01:00:00,1,Night,2,High
Ahmedabad,SEXUAL ASSAULT,2020,1,2020-02-04 02:00:00,2,Night,2,High
Kolkata,ASSAULT,2020,1,2020-02-04 06:00:00,6,Day,2,High
Hyderabad,SEXUAL ASSAULT,2020,1,2020-02-04 18:00:00,18,Night,2,High
Nashik,SEXUAL ASSAULT,2020,1,2020-02-05 07:00:00,7,Day,2,Low
Kolkata,KIDNAPPING,2020,1,2020-02-05 16:00:00,16,Day,2,High
Indore,SEXUAL ASSAULT,2020,1,2020-02-05 23:00:00,23,Night,2,Medium
Pune,SEXUAL ASSAULT,2020,1,2020-02-06 02:00:00,2,Night,2,High
Mumbai,SEXUAL ASSAULT,2020,1,2020-02-06 08:00:00,8,Day,2,High
Delhi,ASSAULT,2020,1,2020-02-08 00:00:00,0,Night,2,High
Jaipur,KIDNAPPING,2020,1,2020-02-08 01:00:00,1,Night,2,High
Kolkata,KIDNAPPING,2020,1,2020-02-08 03:00:00,3,Night,2,High
Ahmedabad,ASSAULT,2020,1,2020-02-08 04:00:00,4,Night,2,High
Delhi,SEXUAL ASSAULT,2020,1,2020-02-08 16:00:00,16,Day,2,High
Rajkot,ASSAULT,2020,1,2020-02-09 04:00:00,4,Night,2,Low
Delhi,ASSAULT,2020,1,2020-02-09 06:00:00,6,Day,2,High
Kanpur,KIDNAPPING,2020,1,2020-02-10 03:00:00,3,Night,2,Medium
Delhi,SEXUAL ASSAULT,2020,1,2020-02-10 06:00:00,6,Day,2,High
Chennai,ASSAULT,2020,1,2020-02-10 17:00:00,17,Day,2,High
Mumbai,KIDNAPPING,2020,1,2020-02-10 20:00:00,20,Night,2,High
Ghaziabad,ASSAULT,2020,1,2020-02-10 22:00:00,22,Night,2,Medium
Mumbai,ASSAULT,2020,1,2020-02-11 02:00:00,2,Night,2,High
Mumbai,SEXUAL ASSAULT,2020,1,2020-02-11 03:00:00,3,Night,2,High
Kolkata,ASSAULT,2020,1,2020-02-11 05:00:00,5,Night,2,High
Mumbai,ASSAULT,2020,1,2020-02-11 09:00:00,9,Day,2,High
Faridabad,KIDNAPPING,2020,1,2020-02-12 12:00:00,12,Day,2,Low
Kolkata,KIDNAPPING,2020,1,2020-02-13 04:00:00,4,Night,2,High
Delhi,ASSAULT,2020,1,2020-02-15 00:00:00,0,Night,2,High
Bangalore,ASSAULT,2020,1,2020-02-16 03:00:00,3,Night,2,High
Delhi,KIDNAPPING,2020,1,2020-02-16 09:00:00,9,Day,2,High
Jaipur,KIDNAPPING,2020,1,2020-02-16 12:00:00,12,Day,2,High
Ghaziabad,ASSAULT,2020,1,2020-02-16 19:00:00,19,Night,2,Medium
Lucknow,SEXUAL ASSAULT,2020,1,2020-02-16 20:00:00,20,Night,2,High
Jaipur,KIDNAPPING,2020,1,2020-02-17 13:00:00,13,Day,2,High
Hyderabad,SEXUAL ASSAULT,2020,1,2020-02-17 20:00:00,20,Night,2,High
Bhopal,KIDNAPPING,2020,1,2020-02-18 03:00:00,3,Night,2,Medium
Chennai,ASSAULT,2020,1,2020-02-18 11:00:00,11,Day,2,High
Bangalore,KIDNAPPING,2020,1,2020-02-19 01:00:00,1,Night,2,High
Ludhiana,KIDNAPPING,2020,1,2020-02-19 05:00:00,5,Night,2,Medium
Kanpur,KIDNAPPING,2020,1,2020-02-19 16:00:00,16,Day,2,Medium
Patna,ASSAULT,2020,1,2020-02-19 17:00:00,17,Day,2,Medium
Mumbai,ASSAULT,2020,1,2020-02-20 00:00:00,0,Night,2,High
Chennai,KIDNAPPING,2020,1,2020-02-20 12:00:00,12,Day,2,High
Mumbai,KIDNAPPING,2020,1,2020-02-20 13:00:00,13,Day,2,High
Delhi,SEXUAL ASSAULT,2020,1,2020-02-21 00:00:00,0,Night,2,High
Pune,ASSAULT,2020,1,2020-02-21 09:00:00,9,Day,2,High
Bangalore,ASSAULT,2020,1,2020-02-21 13:00:00,13,Day,2,High
Ludhiana,KIDNAPPING,2020,1,2020-02-22 04:00:00,4,Night,2,Medium
Bhopal,KIDNAPPING,2020,1,2020-02-22 10:00:00,10,Day,2,Medium
Delhi,KIDNAPPING,2020,1,2020-02-22 18:00:00,18,Night,2,High
Nashik,ASSAULT,2020,1,2020-02-23 19:00:00,19,Night,2,Low
Bangalore,ASSAULT,2020,1,2020-02-25 01:00:00,1,Night,2,High
Patna,SEXUAL ASSAULT,2020,1,2020-02-25 15:00:00,15,Day,2,Medium
Lucknow,KIDNAPPING,2020,1,2020-02-26 01:00:00,1,Night,2,High
Delhi,SEXUAL ASSAULT,2020,1,2020-02-26 10:00:00,10,Day,2,High
Bangalore,ASSAULT,2020,1,2020-02-26 14:00:00,14,Day,2,High
Agra,ASSAULT,2020,1,2020-02-26 15:00:00,15,Day,2,Medium
Mumbai,ASSAULT,2020,1,2020-02-26 19:00:00,19,Night,2,High
Bangalore,SEXUAL ASSAULT,2020,1,2020-02-26 23:00:00,23,Night,2,High
Mumbai,KIDNAPPING,2020,1,2020-02-27 12:00:00,12,Day,2,High
Kalyan,KIDNAPPING,2020,1,2020-02-27 17:00:00,17,Day,2,Low
Mumbai,SEXUAL ASSAULT,2020,1,2020-02-27 23:00:00,23,Night,2,High
Bangalore,ASSAULT,2020,1,2020-02-28 06:00:00,6,Day,2,High
Chennai,ASSAULT,2020,1,2020-02-29 14:00:00,14,Day,2,High
Mumbai,SEXUAL ASSAULT,2020,1,2020-02-29 16:00:00,16,Day,2,High
Mumbai,KIDNAPPING,2020,1,2020-03-01 02:00:00,2,Night,3,High
Hyderabad,KIDNAPPING,2020,1,2020-03-01 07:00:00,7,Day,3,High
Jaipur,KIDNAPPING,2020,1,2020-03-01 15:00:00,15,Day,3,High
Pune,KIDNAPPING,2020,1,2020-03-01 19:00:00,19,Night,3,High
Jaipur,ASSAULT,2020,1,2020-03-01 20:00:00,20,Night,3,High
Varanasi,KIDNAPPING,2020,1,2020-03-02 06:00:00,6,Day,3,Low
Delhi,ASSAULT,2020,1,2020-03-02 11:00:00,11,Day,3,High
Jaipur,KIDNAPPING,2020,1,2020-03-02 12:00:00,12,Day,3,High
Mumbai,ASSAULT,2020,1,2020-03-02 16:00:00,16,Day,3,High
Bangalore,ASSAULT,2020,1,2020-03-03 02:00:00,2,Night,3,High
Hyderabad,SEXUAL ASSAULT,2020,1,2020-03-03 08:00:00,8,Day,3,High
Thane,SEXUAL ASSAULT,2020,1,2020-03-03 13:00:00,13,Day,3,Low
Ludhiana,SEXUAL ASSAULT,2020,1,2020-03-04 13:00:00,13,Day,3,Medium
Bhopal,KIDNAPPING,2020,1,2020-03-06 01:00:00,1,Night,3,Medium
Ahmedabad,SEXUAL ASSAULT,2020,1,2020-03-06 03:00:00,3,Night,3,High
Bangalore,KIDNAPPING,2020,1,2020-03-06 14:00:00,14,Day,3,High
Kalyan,KIDNAPPING,2020,1,2020-03-06 16:00:00,16,Day,3,Low
