area,crime_type,year,crime_count,crime_date,crime_hour,day_night,source_dataset,latitude,longitude
Ludhiana,KIDNAPPING,2020,1,,,,crime_dataset_1,,
Bangalore,SEXUAL ASSAULT,2020,1,,,,crime_dataset_1,,
Lucknow,SEXUAL ASSAULT,2020,1,,,,crime_dataset_1,,
Kanpur,SEXUAL ASSAULT,2020,1,,,,crime_dataset_1,,
Ahmedabad,ASSAULT,2020,1,,,,crime_dataset_1,,
Mumbai,KIDNAPPING,2020,1,,,,crime_dataset_1,,
Delhi,ASSAULT,2020,1,,,,crime_dataset_1,,
Mumbai,SEXUAL ASSAULT,2020,1,,,,crime_dataset_1,,
Kanpur,ASSAULT,2020,1,,,,crime_dataset_1,,
Delhi,KIDNAPPING,2020,1,,,,crime_dataset_1,,
Ludhiana,SEXUAL ASSAULT,2020,1,,,,crime_dataset_1,,
Pune,ASSAULT,2020,1,,,,crime_dataset_1,,
Kanpur,KIDNAPPING,2020,1,,,,crime_dataset_1,,
Varanasi,ASSAULT,2020,1,,,,crime_dataset_1,,
Chennai,KIDNAPPING,2020,1,,,,crime_dataset_1,,
Kolkata,ASSAULT,2020,1,,,,crime_dataset_1,,
Ghaziabad,SEXUAL ASSAULT,2020,1,,,,crime_dataset_1,,
Hyderabad,SEXUAL ASSAULT,2020,1,,,,crime_dataset_1,,
Ahmedabad,SEXUAL ASSAULT,2020,1,,,,crime_dataset_1,,
Hyderabad,SEXUAL ASSAULT,2020,1,,,,crime_dataset_1,,
Chennai,KIDNAPPING,2020,1,,,,crime_dataset_1,,
Lucknow,KIDNAPPING,2020,1,,,,crime_dataset_1,,
Ludhiana,KIDNAPPING,2020,1,,,,crime_dataset_1,,
Kalyan,SEXUAL ASSAULT,2020,1,,,,crime_dataset_1,,
Indore,KIDNAPPING,2020,1,,,,crime_dataset_1,,
Kanpur,SEXUAL ASSAULT,2020,1,,,,crime_dataset_1,,
Kanpur,KIDNAPPING,2020,1,,,,crime_dataset_1,,
Indore,ASSAULT,2020,1,,,,crime_dataset_1,,
Ludhiana,KIDNAPPING,2020,1,,,,crime_dataset_1,,
