year,state,district,crime_type,crime_count
2017,ANDHRA PRADESH,ANANTHAPURAMU,RAPE_WOMEN_ABOVE_18,20
2017,ANDHRA PRADESH,CHITTOOR,RAPE_WOMEN_ABOVE_18,6
2017,ANDHRA PRADESH,Y.S.R.,RAPE_WOMEN_ABOVE_18,23
2017,ANDHRA PRADESH,EAST GODAVARI,RAPE_WOMEN_ABOVE_18,19
2017,ANDHRA PRADESH,GUNTUR,RAPE_WOMEN_ABOVE_18,32
2017,ANDHRA PRADESH,GUNTUR,RAPE_WOMEN_ABOVE_18,14
2017,ANDHRA PRADESH,KRISHNA,RAPE_WOMEN_ABOVE_18,35
2017,ANDHRA PRADESH,KURNOOL,RAPE_WOMEN_ABOVE_18,17
2017,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,RAPE_WOMEN_ABOVE_18,15
2017,ANDHRA PRADESH,PRAKASAM,RAPE_WOMEN_ABOVE_18,35
2017,ANDHRA PRADESH,EAST GODAVARI,RAPE_WOMEN_ABOVE_18,15
2017,ANDHRA PRADESH,SRIKAKULAM,RAPE_WOMEN_ABOVE_18,10
2017,ANDHRA PRADESH,TIRUPATI,RAPE_WOMEN_ABOVE_18,2
2017,ANDHRA PRADESH,NTR,RAPE_WOMEN_ABOVE_18,41
2017,ANDHRA PRADESH,VISAKHAPATNAM,RAPE_WOMEN_ABOVE_18,27
2017,ANDHRA PRADESH,VISAKHAPATNAM,RAPE_WOMEN_ABOVE_18,63
2017,ANDHRA PRADESH,VIZIANAGARAM,RAPE_WOMEN_ABOVE_18,18
2017,ANDHRA PRADESH,WEST GODAVARI,RAPE_WOMEN_ABOVE_18,60
2017,ARUNACHAL PRADESH,CHANGLANG,RAPE_WOMEN_ABOVE_18,1
2017,ARUNACHAL PRADESH,DIBANG VALLEY,RAPE_WOMEN_ABOVE_18,1
2017,ARUNACHAL PRADESH,EAST KAMENG,RAPE_WOMEN_ABOVE_18,3
2017,ARUNACHAL PRADESH,LOHIT,RAPE_WOMEN_ABOVE_18,2
2017,ARUNACHAL PRADESH,LONGDING,RAPE_WOMEN_ABOVE_18,2
2017,ARUNACHAL PRADESH,PAPUM PARE,RAPE_WOMEN_ABOVE_18,4
2017,ARUNACHAL PRADESH,PAPUM PARE,RAPE_WOMEN_ABOVE_18,1
2017,ARUNACHAL PRADESH,UPPER SUBANSIRI,RAPE_WOMEN_ABOVE_18,2
2017,ARUNACHAL PRADESH,NAMSAI,RAPE_WOMEN_ABOVE_18,2
2017,ARUNACHAL PRADESH,SIANG,RAPE_WOMEN_ABOVE_18,2
2017,ARUNACHAL PRADESH,LOWER SIANG,RAPE_WOMEN_ABOVE_18,1
2017,ASSAM,BARPETA,RAPE_WOMEN_ABOVE_18,176
2017,ASSAM,BAKSA,RAPE_WOMEN_ABOVE_18,35
2017,ASSAM,BONGAIGAON,RAPE_WOMEN_ABOVE_18,45
2017,ASSAM,CACHAR,RAPE_WOMEN_ABOVE_18,51
2017,ASSAM,CHIRANG,RAPE_WOMEN_ABOVE_18,30
2017,ASSAM,DARRANG,RAPE_WOMEN_ABOVE_18,80
2017,ASSAM,DHEMAJI,RAPE_WOMEN_ABOVE_18,43
2017,ASSAM,DHUBRI,RAPE_WOMEN_ABOVE_18,81
2017,ASSAM,DIBRUGARH,RAPE_WOMEN_ABOVE_18,31
2017,ASSAM,GOALPARA,RAPE_WOMEN_ABOVE_18,48
2017,ASSAM,GOLAGHAT,RAPE_WOMEN_ABOVE_18,55
2017,ASSAM,KAMRUP METRO,RAPE_WOMEN_ABOVE_18,73
2017,ASSAM,HAILAKANDI,RAPE_WOMEN_ABOVE_18,81
2017,ASSAM,WEST KARBI ANGLONG,RAPE_WOMEN_ABOVE_18,17
2017,ASSAM,JORHAT,RAPE_WOMEN_ABOVE_18,34
2017,ASSAM,KAMRUP,RAPE_WOMEN_ABOVE_18,90
2017,ASSAM,KARBI ANGLONG,RAPE_WOMEN_ABOVE_18,14
2017,ASSAM,KARIMGANJ,RAPE_WOMEN_ABOVE_18,66
2017,ASSAM,KOKRAJHAR,RAPE_WOMEN_ABOVE_18,35
2017,ASSAM,LAKHIMPUR,RAPE_WOMEN_ABOVE_18,69
2017,ASSAM,MARIGAON,RAPE_WOMEN_ABOVE_18,84
2017,ASSAM,DIMA HASAO,RAPE_WOMEN_ABOVE_18,1
2017,ASSAM,NAGAON,RAPE_WOMEN_ABOVE_18,93
2017,ASSAM,NALBARI,RAPE_WOMEN_ABOVE_18,34
2017,ASSAM,KAMRUP METRO,RAPE_WOMEN_ABOVE_18,3
2017,ASSAM,SIVASAGAR,RAPE_WOMEN_ABOVE_18,11
2017,ASSAM,SONITPUR,RAPE_WOMEN_ABOVE_18,50
2017,ASSAM,TINSUKIA,RAPE_WOMEN_ABOVE_18,72
2017,ASSAM,UDALGURI,RAPE_WOMEN_ABOVE_18,12
2017,ASSAM,TINSUKIA,RAPE_WOMEN_ABOVE_18,3
2017,ASSAM,MAJULI,RAPE_WOMEN_ABOVE_18,6
2017,ASSAM,BISWANATH,RAPE_WOMEN_ABOVE_18,17
2017,ASSAM,HOJAI,RAPE_WOMEN_ABOVE_18,55
2017,ASSAM,SOUTH SALMARA MANCACHAR,RAPE_WOMEN_ABOVE_18,65
2017,ASSAM,CHARAIDEO,RAPE_WOMEN_ABOVE_18,12
2017,BIHAR,ARARIA,RAPE_WOMEN_ABOVE_18,37
2017,BIHAR,ARWAL,RAPE_WOMEN_ABOVE_18,3
2017,BIHAR,AURANGABAD,RAPE_WOMEN_ABOVE_18,4
2017,BIHAR,PASHCHIM CHAMPARAN,RAPE_WOMEN_ABOVE_18,8
2017,BIHAR,BANKA,RAPE_WOMEN_ABOVE_18,12
2017,BIHAR,BEGUSARAI,RAPE_WOMEN_ABOVE_18,11
2017,BIHAR,PASHCHIM CHAMPARAN,RAPE_WOMEN_ABOVE_18,13
2017,BIHAR,BHAGALPUR,RAPE_WOMEN_ABOVE_18,48
2017,BIHAR,BHOJPUR,RAPE_WOMEN_ABOVE_18,10
2017,BIHAR,BUXAR,RAPE_WOMEN_ABOVE_18,8
2017,BIHAR,DARBHANGA,RAPE_WOMEN_ABOVE_18,17
2017,BIHAR,GAYA,RAPE_WOMEN_ABOVE_18,12
2017,BIHAR,GOPALGANJ,RAPE_WOMEN_ABOVE_18,2
2017,BIHAR,JAMUI,RAPE_WOMEN_ABOVE_18,8
2017,BIHAR,JEHANABAD,RAPE_WOMEN_ABOVE_18,9
2017,BIHAR,KATIHAR,RAPE_WOMEN_ABOVE_18,28
2017,BIHAR,KHAGARIA,RAPE_WOMEN_ABOVE_18,4
2017,BIHAR,KISHANGANJ,RAPE_WOMEN_ABOVE_18,20
2017,BIHAR,LAKHISARAI,RAPE_WOMEN_ABOVE_18,10
2017,BIHAR,MADHEPURA,RAPE_WOMEN_ABOVE_18,12
2017,BIHAR,MADHUBANI,RAPE_WOMEN_ABOVE_18,40
2017,BIHAR,MUNGER,RAPE_WOMEN_ABOVE_18,6
2017,BIHAR,MUZAFFARPUR,RAPE_WOMEN_ABOVE_18,40
2017,BIHAR,MUZAFFARPUR,RAPE_WOMEN_ABOVE_18,1
2017,BIHAR,NALANDA,RAPE_WOMEN_ABOVE_18,10
2017,BIHAR,BHAGALPUR,RAPE_WOMEN_ABOVE_18,2
2017,BIHAR,NAWADA,RAPE_WOMEN_ABOVE_18,18
2017,BIHAR,PATNA,RAPE_WOMEN_ABOVE_18,54
2017,BIHAR,ROHTAS,RAPE_WOMEN_ABOVE_18,20
2017,BIHAR,SAHARSA,RAPE_WOMEN_ABOVE_18,19
2017,BIHAR,SARAN,RAPE_WOMEN_ABOVE_18,20
2017,BIHAR,SHEIKHPURA,RAPE_WOMEN_ABOVE_18,1
2017,BIHAR,SHEOHAR,RAPE_WOMEN_ABOVE_18,7
2017,BIHAR,SITAMARHI,RAPE_WOMEN_ABOVE_18,16
2017,BIHAR,SIWAN,RAPE_WOMEN_ABOVE_18,15
2017,BIHAR,SUPAUL,RAPE_WOMEN_ABOVE_18,25
2017,BIHAR,VAISHALI,RAPE_WOMEN_ABOVE_18,9
2017,CHHATTISGARH,BALOD,RAPE_WOMEN_ABOVE_18,11
2017,CHHATTISGARH,BALRAMPUR RAMANUJGANJ,RAPE_WOMEN_ABOVE_18,44
2017,CHHATTISGARH,BEMETARA,RAPE_WOMEN_ABOVE_18,16
2017,CHHATTISGARH,BILASPUR,RAPE_WOMEN_ABOVE_18,48
2017,CHHATTISGARH,BIJAPUR,RAPE_WOMEN_ABOVE_18,3
2017,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,RAPE_WOMEN_ABOVE_18,4
2017,CHHATTISGARH,DHAMTARI,RAPE_WOMEN_ABOVE_18,19
2017,CHHATTISGARH,DURG,RAPE_WOMEN_ABOVE_18,69
2017,CHHATTISGARH,GARIYABAND,RAPE_WOMEN_ABOVE_18,7
2017,CHHATTISGARH,RAIPUR,RAPE_WOMEN_ABOVE_18,2
2017,CHHATTISGARH,BASTAR,RAPE_WOMEN_ABOVE_18,21
2017,CHHATTISGARH,JANJGIR-CHAMPA,RAPE_WOMEN_ABOVE_18,31
2017,CHHATTISGARH,JASHPUR,RAPE_WOMEN_ABOVE_18,43
2017,CHHATTISGARH,KABEERDHAM,RAPE_WOMEN_ABOVE_18,14
2017,CHHATTISGARH,UTTAR BASTAR KANKER,RAPE_WOMEN_ABOVE_18,23
2017,CHHATTISGARH,KONDAGAON,RAPE_WOMEN_ABOVE_18,8
2017,CHHATTISGARH,KORBA,RAPE_WOMEN_ABOVE_18,41
2017,CHHATTISGARH,KOREA,RAPE_WOMEN_ABOVE_18,64
2017,CHHATTISGARH,MAHASAMUND,RAPE_WOMEN_ABOVE_18,26
2017,CHHATTISGARH,MUNGELI,RAPE_WOMEN_ABOVE_18,13
