indicator,year,total_count
NUMBER OF WOMEN TRAFFICKED,2016,5239
NUMBER OF CHILDREN TRAFFICKED,2016,9034
NUMBER OF WOMEN VICTIMS OF TRAFFICKING RESCUED,2016,7238
NUMBER OF CHILD VICTIMS OF TRAFFICKING RESCUED,2016,14183
NUMBER OF WOMEN TRAFFICKED,2017,2040
NUMBER OF CHILDREN TRAFFICKED,2017,3535
NUMBER OF WOMEN VICTIMS OF TRAFFICKING RESCUED,2017,2211
NUMBER OF CHILD VICTIMS OF TRAFFICKING RESCUED,2017,3294
NUMBER OF WOMEN TRAFFICKED,2018,2472
NUMBER OF CHILDREN TRAFFICKED,2018,2834
NUMBER OF WOMEN VICTIMS OF TRAFFICKING RESCUED,2018,2493
NUMBER OF CHILD VICTIMS OF TRAFFICKING RESCUED,2018,2358
