CCN,REPORT_DAT,START_DATE,END_DATE,SHIFT,OFFENSE,BLOCK,WARD,DISTRICT,NEIGHBORHOOD_CLUSTER,LATITUDE,LONGITUDE,hour,day,month,weekday,time_period,crime_count,crime_type,crime_date,crime_hour,year,day_night,area,risk_level
24001558,2024-01-04 02:09:24+00:00,2024-01-03 23:03:00+00:00,2024-01-04 00:26:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,1953 - 2099 BLOCK OF 19TH PLACE SE,8.0,7.0,Cluster 28,38.8646640502,-76.9775289645,23.0,3.0,1,Wednesday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-01-04 02:09:24+00:00,2,2024,Night,Cluster 28,Medium
24019819,2024-02-08 04:29:10+00:00,2024-02-08 01:25:00+00:00,2024-02-09 03:30:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,3900 - 3999 BLOCK OF MARTIN LUTHER KING JR AVENUE SW,8.0,7.0,Cluster 39,38.8325609582,-77.0089972649,1.0,8.0,2,Thursday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-02-08 04:29:10+00:00,4,2024,Night,Cluster 39,High
24022148,2024-02-12 16:25:56+00:00,2024-02-12 15:30:00+00:00,2024-02-12 16:15:00+00:00,DAY,ASSAULT W/DANGEROUS WEAPON,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,1.0,3.0,Cluster 1,38.9238698908,-77.0408755892,15.0,12.0,2,Monday,Afternoon,1,ASSAULT W/DANGEROUS WEAPON,2024-02-12 16:25:56+00:00,16,2024,Day,Cluster 1,Medium
24005258,2024-01-11 13:51:09+00:00,2024-01-11 12:10:00+00:00,2024-01-11 12:15:00+00:00,DAY,ASSAULT W/DANGEROUS WEAPON,100 - 199 BLOCK OF ATLANTIC STREET SE,8.0,7.0,Cluster 39,38.8310799071,-77.0047122463,12.0,11.0,1,Thursday,Afternoon,1,ASSAULT W/DANGEROUS WEAPON,2024-01-11 13:51:09+00:00,13,2024,Day,Cluster 39,High
24005185,2024-01-11 07:35:50+00:00,2024-01-11 04:56:00+00:00,2024-01-11 04:59:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,1000 - 1099 BLOCK OF WEBSTER STREET NW,4.0,4.0,Cluster 18,38.9439934917,-77.026702967,4.0,11.0,1,Thursday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-01-11 07:35:50+00:00,7,2024,Day,Cluster 18,High
24021036,2024-02-10 08:56:09+00:00,2024-02-10 07:09:00+00:00,2024-02-10 08:00:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,2300 - 2399 BLOCK OF PITTS PLACE SE,8.0,7.0,Cluster 28,38.8598102625,-76.9855833686,7.0,10.0,2,Saturday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-02-10 08:56:09+00:00,8,2024,Day,Cluster 28,Medium
24034259,2024-03-06 03:45:24+00:00,2024-03-06 02:24:00+00:00,2024-03-06 03:08:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,4000 - 4099 BLOCK OF 4TH STREET SE,8.0,7.0,Cluster 39,38.8305206225,-77.0005714967,2.0,6.0,3,Wednesday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-03-06 03:45:24+00:00,3,2024,Night,Cluster 39,High
24056689,2024-04-16 01:19:47+00:00,2024-04-15 23:59:00+00:00,2024-04-16 01:20:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,6200 - 6299 BLOCK OF 13TH STREET NW,4.0,4.0,Cluster 17,38.965782686,-77.0296904581,23.0,15.0,4,Monday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-04-16 01:19:47+00:00,1,2024,Night,Cluster 17,Medium
24014586,2024-01-29 22:51:21+00:00,2024-01-29 17:41:00+00:00,,EVENING,ASSAULT W/DANGEROUS WEAPON,900 - 1199 BLOCK OF 4TH STREET SW,6.0,1.0,Cluster 9,38.8778666066,-77.0176347386,17.0,29.0,1,Monday,Evening,1,ASSAULT W/DANGEROUS WEAPON,2024-01-29 22:51:21+00:00,22,2024,Night,Cluster 9,Medium
24016113,2024-02-01 16:15:29+00:00,2024-02-01 14:11:00+00:00,2024-02-01 15:37:00+00:00,DAY,ASSAULT W/DANGEROUS WEAPON,300 - 399 BLOCK OF LIVINGSTON TERRACE SE,8.0,7.0,Cluster 39,38.8266053045,-77.001267895,14.0,1.0,2,Thursday,Afternoon,1,ASSAULT W/DANGEROUS WEAPON,2024-02-01 16:15:29+00:00,16,2024,Day,Cluster 39,High
